name,sp_Mn,mln_Mn,si_Mp,mln_Mp,si_Mn,sp_Mp,sp_Ame,pre_inj
Abcb1a1,104418,90474,1278,3317,70647,3726,44228,47979
Abcb1a2,10339,10110,1504,1753,5943,1514,5652,7491
Abcb1b4,3446,3760,1027,1741,4891,3050,4074,2662
Abcb1b5,9358,5055,844,2188,2675,7230,6830,8574
Ahr1,7962,3059,1019,4657,2237,3999,6191,4840
Ahr2,2231,817,231,668,300,2180,2264,1609
Ahr3,230,278,113,540,126,756,606,3058
Ar1,383,182,301,226,95,338,232,761
Ar2,420,686,125,1858,76,356,1489,4043
Ar3,1046,2246,1530,3042,1285,2097,3104,3992
Blimp-1,6096,4863,3027,5476,4950,7019,7905,3907
Cd19-1,38886,29797,22460,36425,17668,30460,31870,50967
Cd19-2,1776,694,691,1329,662,3180,2288,1854
Cd19-3,12888,16113,2394,18811,2575,14511,15904,5658
Cd8a-1,4687,3831,1431,3529,2957,6887,5692,2509
Cd8a-2,2947,2759,427,2635,199,2310,2330,6297
Creb-2,1625,896,613,1220,951,2272,1927,4931
Creb-3,16326,16211,7710,22930,8601,17109,20152,37851
Dmrta1-1,1602,1078,364,1182,490,1490,2375,4308
Dmrta1-2,5849,3370,1103,3388,5718,1950,5298,8682
Dmrta1-3,2211,607,25,779,352,2472,1863,1304
Dmrta1-4,78884,57908,36495,31180,51792,49938,65276,7468
Dmrta1-5,1616,567,6028,3232,4797,3565,550,648
Eomes1,2056,3225,1366,1760,1410,2601,2144,3371
Eomes2,2030,1546,1595,1865,1635,3155,1979,2526
Eomes3,208,709,684,899,477,658,718,417
Eomes4,4421,2616,1203,2449,1148,4005,4983,3920
Eomes5,9565,6694,4699,5324,5597,7771,8675,5539
Esr1-1,721,396,481,275,253,581,479,2024
Esr1-2,338,172,4,42,520,180,123,1011
Esr1-3,714,641,178,168,435,445,1404,1750
Esr2-1,21,65,185,447,66,600,70,1238
Esr2-2,1825,1838,1182,1679,907,2769,2152,1171
Esr2-3,5414,3637,1353,5315,459,7162,6802,5220
Esrra1,407,501,16,704,153,442,249,1468
Esrra2,253,22,50,141,7,115,14,552
Esrra3,512,17,67,133,603,99,396,1143
Esrrb1,30,42,36,81,45,61,163,545
Esrrb2,0,416,4,1020,11,368,405,2688
Esrrb3,1238,1231,2725,2568,2878,1339,2734,2665
Esrrb4,3067,2394,1797,3791,2205,3733,4663,4537
Esrrb5,454,6,46,467,37,626,517,336
Esrrg1,34,139,6,199,320,142,197,1020
Esrrg2,301,170,137,460,50,707,746,351
Esrrg3,16364,38002,4348,16982,6597,13981,19124,20941
Esrrg4,575,401,1165,3195,302,3273,3699,6235
Hnf4a1,0,26,474,59,277,148,103,489
Hnf4a2,457,449,703,681,618,910,1026,2302
Hnf4a3,1247,236,438,811,727,499,723,620
Hnf4a4,877,538,263,856,31,523,1646,1885
Hnf4a5,454,760,104,143,42,3357,2135,680
Hnf4g1,1149,907,2559,1309,1600,1681,981,1542
Hnf4g2,5996,7646,1466,8010,17505,7438,6375,5994
Hnf4g3,417,345,113,908,138,416,193,1161
Hnf4g4,290,110,3,458,336,937,1267,2215
Ncoa1-1,2118,2363,942,3381,996,2532,4452,9802
Ncoa1-2,189,2,134,8,0,91,45,331
Ncoa1-3,447,621,108,582,0,1677,898,2973
Ncoa1-4,2338,2276,1090,4156,1862,4271,4151,9980
Ncoa1-5,1306,682,2372,2026,2326,2053,1706,960
Ncoa2-1,317,61,86,96,57,46,289,302
Ncoa2-2,392,446,20,46,88,381,177,1722
Ncoa2-3,309,623,72,1083,34,822,426,1764
Ncoa2-4,1427,1230,41,633,544,769,483,804
Ncoa2-5,11249,9461,161992,14159,45053,13865,14850,6122
Ncoa2-6,604,75,12,442,34,198,137,385
Ncoa3-1,2325,1391,621,1345,1036,2531,3115,814
Ncoa3-2,611,327,87,621,184,394,441,277
Ncoa3-3,767,688,461,1619,519,939,734,1906
Ncoa3-4,374,525,0,6,11,612,1261,4938
Ncoa3-5,19967,25580,1869,13516,3009,8396,17566,7368
Ncoa4-1,1433,1642,412,1412,758,1454,1198,3539
Ncoa4-2,9847,8352,2014,8873,3218,7139,7502,12371
Ncoa4-3,7181,4738,1317,6178,4404,4776,4200,9967
Ncoa4-4,2199,1979,761,4125,1089,4329,3211,3106
Ncoa4-5,513,220,158,88,18,325,852,1641
Ncoa5-1,1296,441,449,610,648,939,1362,656
Ncoa5-2,1312,1085,421,2161,689,4175,2957,9195
Ncoa5-3,1481,1418,750,1922,819,1988,2835,4949
Ncoa6-2,7485,4085,5187,5049,7660,8639,7469,4925
Ncoa6-3,34679,80307,350258,160033,317664,55063,54539,20412
Ncoa7-1,195,328,275,230,78,116,455,870
Ncoa7-2,40575,35783,23138,73202,35648,45469,46534,24520
Ncoa7-3,837,883,699,1123,921,1429,906,2082
Non-targeting-negative-control-#2-(RFP)-1,5607,1319,2350,5120,2157,2442,5610,6741
Non-targeting-negative-control-#4-(EGFP_881)-1,3531,1078,2525,1717,2529,3902,3548,1319
Non-targeting-negative-control-#5-(EGFP_1212)-2,18465,12206,7449,13589,6064,13920,14446,8618
Nr0b1-1,1573,2205,978,4761,923,1701,2114,545
Nr0b1-2,1685,1557,1013,2254,1198,1332,1576,1920
Nr0b1-3,64,162,0,4,0,29,165,519
Nr0b1-4,151,36,5,58,141,40,43,351
Nr0b2-1,1709,521,421,578,1931,1352,1069,2137
Nr0b2-2,2599,4219,690,11891,920,3430,8415,5087
