name,si_Mn,mln_Mn,mln_Mp,sp_Mp,sp_Mn,pre_inj,si_Mp,sp_Ame
Nr1i2-7,1608,4568,3401,4306,4356,5550,538,3321
Nr1i2-8,1823,1846,2683,2381,2060,5885,1678,4318
Nr1i3-1,581,38,327,2586,1038,1017,282,1321
Nr1i3-2,266,534,214,707,225,966,11,612
Nr1i3-4,80,0,0,354,0,905,6,125
Nr1i3-5,1352,411,209,271,411,840,461,88
Nr2c1-1,409,1033,1012,1313,1064,900,252,1311
Nr2c1-2,3327,465,865,501,280,1745,3307,714
Nr2c1-3,72,127,135,32,178,432,14,146
Nr2c2-5,2032,698,1508,1558,1447,1351,2849,1164
Nr2c2-6,215,394,233,598,186,3943,57,544
Nr2e1-1,2163,9240,9707,5936,16890,8795,3646,12440
Nr2e1-2,0,97,1,15,7,247,0,54
Nr2e1-3,528,1706,1705,2851,1922,3838,502,1920
Nr2e3-4,1560,326,1049,822,551,654,587,668
Nr2e3-5,12,124,267,505,177,570,30,247
Nr2e3-6,11453,20050,11862,2449,4961,2601,11045,3797
Nr2e3-7,583,764,574,967,1227,680,367,927
Nr2e3-8,2,314,1728,4,279,1297,359,64
Nr2f1-1,251,728,515,865,232,884,240,1076
Nr2f1-4,3388,2742,1178,4609,7021,5730,200,3872
Nr2f2-1,392,622,1630,1629,594,744,476,1342
Nr2f2-2,2467,270,1122,105,70,1437,2397,51
Nr2f2-3,768,3750,5503,4212,3931,5755,1518,3389
Nr2f2-4,514,445,240,171,7,792,365,448
Nr2f6-1,57,16,202,390,16,11,0,65
Nr2f6-2,1355,927,1216,598,1141,509,464,809
Nr2f6-3,496,374,126,521,1466,999,0,503
Nr2f6-4,1965,3821,4025,5185,1274,6445,1488,3156
Nr2f6-5,29,182,7,63,3,93,32,0
Nr3c1-1,1785,1874,2081,1772,1646,1269,1555,2307
Nr3c1-2,173,136,116,266,907,675,87,217
Nr3c1-3,128,267,259,739,279,1299,35,1271
Nr3c2-4,369,811,22,63,109,247,8,261
Nr3c2-5,2803,5561,8855,8209,6464,10380,1973,9695
Nr3c2-6,1153,2877,3025,4425,2236,2300,1683,5292
Nr4a1-1,73,604,270,437,407,866,98,330
Nr4a1-2,5,21,1269,622,494,2039,21,522
Nr4a1-3,3118,1669,2864,2784,2344,1130,3317,2473
Nr4a1-4,0,31,74,615,22,2,0,19
Nr4a2-6,304,156,924,630,230,1092,829,717
Nr4a2-7,458,904,1227,323,355,2291,242,1
Nr4a3-1,230,189,699,63,53,172,11,227
Nr4a3-2,955,2120,2275,3466,2076,1613,1432,3107
Nr4a3-3,31,112,670,759,411,1058,164,595
Nr5a1-1,3572,5791,7553,4265,3276,1968,4110,3592
Nr5a1-2,2405,480,4391,3248,286,620,4541,1895
Nr5a1-3,2260,2669,3269,1916,3759,10267,528,4444
Nr5a1-4,196,5,14,0,0,257,0,0
Nr5a2-1,179,688,428,496,225,333,315,1077
Nr5a2-2,37012,65605,31905,171417,32740,21916,51103,48926
Nr5a2-3,13,962,865,1094,1105,5723,59,1824
Nr6a1-1,1732,3621,4465,3544,3957,11060,1243,5590
Nr6a1-2,4,12,25,30,89,210,9,2
Nr6a1-3,22727,27045,26909,16271,11636,22951,42273,23901
Nr6a1-4,1071,2437,2558,1812,1705,10385,252,3798
Pgr-1,2737,2661,1732,1489,1616,2990,2183,1326
Pgr-2,167,69,193,323,13,1396,196,228
Pgr-3,104,207,554,0,0,1273,0,229
Pgr-4,793,1196,2542,2998,1807,1544,1998,3295
Pgr-5,11757,9224,9853,11960,8455,12958,28875,9616
Pgr-6,259,275,677,1094,551,295,302,704
Ppara-1,711,362,689,282,346,783,1068,303
Ppara-2,1517,3229,1384,1195,3776,2476,615,2628
Ppara-3,1312,4130,3030,3510,5088,2822,928,4256
Ppard-1,0,1,134,132,48,212,0,9
Ppard-2,7527,21904,17177,8258,6905,18638,3031,7350
Ppard-3,85,32,12,1,85,590,2,71
Ppard-4,0,27,193,406,0,2242,101,239
Ppard-5,39,11,287,784,27,648,52,145
Ppard-6,190,115,386,419,570,1582,170,282
Ppard-7,6900,18505,19642,6198,4245,3096,10817,4640
Pparg-1,808,4240,6073,4438,3580,11888,679,2706
Pparg-2,21,51,60,22,13,54,2,1
Pparg-3,5410,5403,5698,8699,6430,5151,4481,8111
Pparg-4,38,127,21,31,378,523,30,50
Pparg-5,772,886,849,373,1753,3138,52,995
Ppargc1a-1,341,688,1469,575,880,1233,120,432
Ppargc1a-2,869,3703,3823,5023,5831,9656,1021,5907
Ppargc1a-3,326,1289,935,297,1443,745,49,1046
Ppargc1b-1,455,24,257,5,241,341,0,4
Ppargc1b-2,1732,503,1417,477,401,181,1426,89
Ppargc1b-3,192,1111,897,1297,1811,1314,266,2074
Rara1,549,739,1043,1623,1237,943,144,1602
Rara2,52,146,602,403,89,724,28,277
Rara3,428,1134,1772,1639,2735,1946,301,2044
Rara4,5544,7168,11685,11252,6467,8335,7189,9050
Rarb1,12355,18983,10871,12955,19566,18470,5056,16585
Rarb2,1423,7367,10009,8559,3561,11522,2547,8564
Rarb3,14,5,19,12,19,328,48,37
Rarg1,3440,3229,3527,1638,1933,2369,2003,1806
Rarg2,8505,12694,9123,10078,51579,16136,1556,27697
Rarg3,510,653,1047,933,485,1016,531,667
Rora1,3613,6542,8359,6607,7120,15701,4292,5332
Rora2,1279,1987,1055,1437,690,638,1191,1248
Rora3,6360,6688,5157,12221,7598,12176,2605,10309
Rorb1,65,91,435,12,0,813,0,254
Rorb2,1336,2622,2101,3465,2912,6101,365,3244
Rorb3,27,216,164,60,44,1177,65,438
Rorc1,2726,13599,19567,16495,24149,8085,1889,19249
Rorc2,625,297,700,770,1145,814,601,1562
Rorc3,314,839,709,257,996,3473,63,1230
Rxra2,2221,3040,3607,4346,2476,2598,2063,2896
Rxra4,0,0,0,32,0,220,116,55
Rxrb1,406,1721,2136,1251,1622,1937,472,1873
Rxrb2,401,902,713,1146,982,1495,362,713
Rxrb3,43,145,27,588,201,333,50,238
Rxrg1,590,1435,951,1525,2625,2636,497,1871
Rxrg2,2196,1023,1170,2473,2772,1586,1365,3520
Rxrg3,589,1161,2641,1760,1499,4408,434,3021
Scand1-2,10744,620,1762,357,3,841,9882,6
Scand1-3,170,1029,685,666,716,1783,99,867
Scand1-4,827,0,2,0,2,21,0,213
Tgr5-1,616,1375,830,3225,815,1542,1017,1230
Tgr5-2,1341,528,517,299,174,604,345,519
Tgr5-3,689,502,136,708,79,12,322,403
Thra1,847,832,226,372,639,88,2038,1033
Thra3,148,52,510,63,0,79,0,19
Thra5,584,400,312,582,1372,1707,45,879
Thrb1,174,899,1266,585,1144,2913,284,793
Thrb3,340,95,275,479,1230,72,269,440
Thrb4,8,34,141,19,94,327,16,51
Vdr1,1460,4238,5185,6148,4831,4865,810,5697
Vdr2,72,130,429,1013,334,1162,59,159
Vdr3,265,0,0,4,8,614,190,2
